S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
8373,KULGAM ARTO,JK18D6717,11-Sep-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Oct-24,19-Oct-24,18-Oct-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8374,KULGAM ARTO,JK18D6733,10-Sep-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Oct-24,21-Oct-24,20-Oct-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8375,KULGAM ARTO,JK18D7027,18-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Apr-25,05-Apr-25,04-Apr-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8376,KULGAM ARTO,JK18D7106,24-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Jan-25,18-Jan-25,17-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8377,KULGAM ARTO,JK18D7107,22-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jan-25,16-Jan-25,15-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8378,KULGAM ARTO,JK18D7119,24-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Jul-25,02-Jul-25,01-Jul-30,LAROO KULGAM TO NEHAMA VIA BYPASS,NA,,,NA,NA,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8379,KULGAM ARTO,JK18D7126,24-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Dec-25,02-Dec-25,01-Dec-30,,NA,Kulgam    ,Kapran,Okey,NA,2024-2025,2025-2026,PETROL,
8380,KULGAM ARTO,JK18D7147,24-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Dec-25,12-Dec-25,11-Dec-30,"ARTO OFFICE KULGAM TO LAISOO VIA CHAMBGUND,ASHMUJI TO QAIMOH VIA BHAN",NA, Kulgam    ,Behibagh,Mohammadpora.,NA,2024-2025,2025-2026,PETROL,
8381,KULGAM ARTO,JK18D7234,31-Oct-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Oct-25,07-Oct-25,06-Oct-30,LAROO TO WANPOH VIA BOGUND,NA,,,NA,Ordinary Service,2024-2025,2025-2026,PETROL,HAZARDOUS::OTHER::ONLY
8382,KULGAM ARTO,JK18D7279,09-Nov-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Oct-25,15-Oct-25,14-Oct-30,KULGAM TO CHOWGAM VIA DEVSAR,NA,Kulgam    ,Nihama,Kapran.,Ordinary Service,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8383,KULGAM ARTO,JK18D7312,14-Nov-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Dec-24,06-Dec-24,05-Dec-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8384,KULGAM ARTO,JK18D7342,22-Nov-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Feb-26,21-Feb-26,20-Feb-31,LAROO TO MIRBAZAR VIA KILAM,NA,,,NA,Rural Service,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8385,KULGAM ARTO,JK18D7417,03-Dec-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-24,15-Dec-24,14-Dec-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8386,KULGAM ARTO,JK18D7529,16-Dec-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Jan-25,04-Jan-25,03-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,PASSENGERS
8387,KULGAM ARTO,JK18D7719,10-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Jun-25,19-Jun-25,18-Jun-30,KULGAM TO NEHAMA,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8388,KULGAM ARTO,JK18D7726,15-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Mar-25,25-Mar-25,24-Mar-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8389,KULGAM ARTO,JK18D7730,11-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-May-25,06-May-25,05-May-30,LAROO TO YARIPORA VIA BALSOO,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8390,KULGAM ARTO,JK18D7764,09-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jan-25,11-Jan-25,10-Jan-30,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8391,KULGAM ARTO,JK18D7777,23-Jun-23,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-May-24,01-May-24,30-Apr-29,,NA,,,NA,NA,2023-2024,2024-2025,PETROL,NON HAZARDOUS::OTHER::ONLY
8392,KULGAM ARTO,JK18D7778,01-Apr-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-24,02-May-24,01-May-29,with in 15 km,NA,,,NA,NA,2024-2025,2024-2025,PETROL,
8393,KULGAM ARTO,JK18D7805,20-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Nov-25,12-Nov-25,11-Nov-30,POLYTECHNIC COLLEGE TO GUDDER LAISOO,NA,,,NA,Rural Service,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8394,KULGAM ARTO,JK18D7821,20-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Apr-25,21-Apr-25,20-Apr-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8395,KULGAM ARTO,JK18D7822,20-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Jul-25,14-Jul-25,13-Jul-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8396,KULGAM ARTO,JK18D7840,20-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Sep-25,27-Sep-25,26-Sep-30,LAROO KULGAM TO WANPOH VIA KANTCHOWA,NA,,,NA,NA,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8397,KULGAM ARTO,JK18D7879,22-Jan-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-May-25,05-May-25,04-May-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8398,KULGAM ARTO,JK18D7966,06-Feb-25,3WT,Commercial,Three Wheeler (Passenger),Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,07-Apr-25,07-Apr-25,06-Apr-30,CHAWALGAM TO MIRHAMA VIA LIRROW,NA,,,NA,,2024-2025,2025-2026,DIESEL,
8399,KULGAM ARTO,JK18D8015,21-Nov-24,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-May-25,07-May-25,06-May-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8400,KULGAM ARTO,JK18D8037,22-Feb-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Sep-25,20-Sep-25,19-Sep-30,LAROO KULGAM TO DEVSAR VIA PAHLOO,NA,,,NA,NA,2024-2025,2025-2026,PETROL,NON HAZARDOUS::OTHER::ONLY
8401,KULGAM ARTO,JK18D8073,15-Feb-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Apr-25,15-Apr-25,14-Apr-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8402,KULGAM ARTO,JK18D8082,22-Feb-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-May-25,07-May-25,06-May-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8403,KULGAM ARTO,JK18D8087,22-Feb-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Apr-25,15-Apr-25,14-Apr-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8404,KULGAM ARTO,JK18D8098,24-Feb-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-May-25,07-May-25,06-May-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8405,KULGAM ARTO,JK18D8135,26-Feb-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Apr-25,12-Apr-25,11-Apr-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8406,KULGAM ARTO,JK18D8376,19-Mar-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Jun-25,24-Jun-25,23-Jun-30,with in 15 km,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8407,KULGAM ARTO,JK18D8472,27-Mar-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-May-25,13-May-25,12-May-30,LAROO TO KADDER VIA TURIGAM,NA,,,NA,NA,2024-2025,2025-2026,PETROL,
8408,KULGAM ARTO,JK18D8473,02-Apr-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Apr-25,19-Apr-25,18-Apr-30,LAROO TO WANPOH VIA BOGUND,NA,,,NA,NA,2025-2026,2025-2026,PETROL,
8409,KULGAM ARTO,JK18D8827,30-Apr-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jul-25,09-Jul-25,08-Jul-30,LAROO TO MIRBAZAR VIA ZANGALPORA,NA,,,NA,NA,2025-2026,2025-2026,PETROL,
8410,KULGAM ARTO,JK18D8848,26-Apr-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-May-25,20-May-25,19-May-30,LAROO KULGAM TO YARIPORA VIA AWGAM,NA,,,NA,NA,2025-2026,2025-2026,PETROL,
8411,KULGAM ARTO,JK18D8961,08-May-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jul-25,09-Jul-25,08-Jul-30,LAROO KULGAM TO KATRASOO VIA SANGUS,NA,,,NA,NA,2025-2026,2025-2026,PETROL E,
8412,KULGAM ARTO,JK18E0254,01-Aug-25,LPV,Commercial,Maxi Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Aug-25,05-Aug-25,04-Aug-30,KBPORA TO KULGAM LAROO,NA,,,NA,NA,2025-2026,2025-2026,PETROL E,
8413,KUPWARA ARTO,JK090403,02-Feb-99,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jun-00,11-Jun-19,11-Jun-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1998-1999,2000-2001,DIESEL,-
8414,KUPWARA ARTO,JK090467,14-Jun-99,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),04-Jul-00,04-Jul-19,03-Jul-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1999-2000,2000-2001,DIESEL,
8415,KUPWARA ARTO,JK090552,28-Oct-99,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Jan-99,20-Jan-20,19-Jan-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,1999-2000,1998-1999,DIESEL,-
8416,KUPWARA ARTO,JK090764,19-Sep-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),11-Oct-00,10-Oct-24,09-Oct-29,WESTERN AREA OF KASHMIR PROVINCE,NA,,,NA,,2000-2001,2000-2001,DIESEL,NON HAZARDOUS::OTHER::ONLY
8417,KUPWARA ARTO,JK090827,18-Dec-00,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Apr-16,08-Jan-19,07-Jan-20,WESTERN AREA OF KASHMIR PROVINCE,NA,,,NA,Ordinary Service,2000-2001,2016-2017,DIESEL,
8418,KUPWARA ARTO,JK090831,04-Jan-01,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),08-Feb-11,06-Feb-24,05-Feb-29,WESTERN AREA OF KASHMIR PROVINCE,NA,,,NA,,2000-2001,2010-2011,DIESEL,
8419,KUPWARA ARTO,JK090885,07-Apr-01,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,28-Apr-01,27-Apr-19,27-Apr-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,
8420,KUPWARA ARTO,JK090935,02-Jun-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Feb-01,05-Jun-18,04-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2000-2001,DIESEL,-
8421,KUPWARA ARTO,JK091001,01-Aug-01,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Aug-01,03-Aug-19,02-Aug-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2001-2002,2001-2002,DIESEL,-
8422,KUPWARA ARTO,JK091303,08-Jul-02,HPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Aug-02,13-Sep-18,08-Aug-20,WESTERN AREA OF KASHMIR PROVINCE,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,
8423,KUPWARA ARTO,JK091439,05-Aug-02,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Nov-02,29-Nov-19,28-Nov-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2002-2003,DIESEL,-
8424,KUPWARA ARTO,JK091487,11-Feb-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Apr-03,07-Apr-19,06-Apr-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2002-2003,2003-2004,DIESEL,-
8425,KUPWARA ARTO,JK091546,24-Apr-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-May-03,18-May-19,17-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,-
8426,KUPWARA ARTO,JK091565,07-May-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Apr-04,23-Dec-21,22-Dec-24,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2004-2005,DIESEL,-
8427,KUPWARA ARTO,JK091617,04-Jun-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Jun-03,22-Jun-19,21-Jun-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,-
8428,KUPWARA ARTO,JK091655,07-Jul-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Jul-03,28-Jul-20,27-Jul-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,
8429,KUPWARA ARTO,JK091666,15-Jul-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Mar-04,28-Mar-21,27-Mar-26,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,
8430,KUPWARA ARTO,JK091677,28-Jul-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Jul-03,29-Jul-18,29-Jul-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,-
8431,KUPWARA ARTO,JK091776,24-Oct-03,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,22-Nov-03,21-Nov-20,20-Nov-22,WITH IN DISTRICT,NA,,,NA,Rural Service,2003-2004,2003-2004,DIESEL,
8432,KUPWARA ARTO,JK091824,12-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-03,14-Dec-18,13-Dec-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,-
8433,KUPWARA ARTO,JK091830,12-Dec-03,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Dec-03,17-Dec-19,16-Dec-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2003-2004,2003-2004,DIESEL,-
8434,KUPWARA ARTO,JK091910,07-Apr-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-May-04,25-May-18,24-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,DIESEL,-
8435,KUPWARA ARTO,JK091969,29-May-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Jul-04,13-Jul-19,12-Jul-22,WITH IN DISTRICT,NA,,,NA,NA,2004-2005,2004-2005,DIESEL,-
8436,KUPWARA ARTO,JK092034,15-Jul-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Oct-04,24-Oct-19,23-Oct-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,DIESEL,-
8437,KUPWARA ARTO,JK092131,09-Sep-04,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),01-Jan-04,04-Aug-20,03-Aug-25,WITH IN DISTRICT,NA,,,NA,,2004-2005,2003-2004,DIESEL,
8438,KUPWARA ARTO,JK092136,19-Jul-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Nov-04,05-Nov-19,04-Nov-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,PETROL,-
8439,KUPWARA ARTO,JK092167,13-Oct-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Dec-07,14-Dec-25,13-Dec-30,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2007-2008,DIESEL,NON HAZARDOUS::OTHER::ONLY
8440,KUPWARA ARTO,JK092240,29-Nov-04,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Dec-04,06-Dec-18,05-Dec-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,DIESEL,-
8441,KUPWARA ARTO,JK092322,12-Mar-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Mar-05,28-Mar-16,27-Mar-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2004-2005,2004-2005,DIESEL,-
8442,KUPWARA ARTO,JK092323,15-Mar-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,10-Jul-01,11-Jul-25,10-Jul-30,WITHIN 15 KMS of District,NA,,,NA,,2004-2005,2001-2002,DIESEL,
8443,KUPWARA ARTO,JK092440,03-Jun-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-May-05,11-Jun-12,13-Jun-17,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,-
8444,KUPWARA ARTO,JK092508,11-May-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jul-05,15-Aug-17,14-Aug-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,-
8445,KUPWARA ARTO,JK092552,18-Aug-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Sep-05,15-Sep-25,14-Sep-30,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,NON HAZARDOUS::OTHER::ONLY
8446,KUPWARA ARTO,JK092555,30-Aug-05,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Oct-05,04-Oct-16,03-Oct-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2005-2006,DIESEL,-
8447,KUPWARA ARTO,JK092670,02-Dec-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Mar-07,10-Mar-19,09-Mar-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2005-2006,2006-2007,DIESEL,-
8448,KUPWARA ARTO,JK092742,05-Apr-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Apr-06,09-Apr-17,08-Apr-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,-
8449,KUPWARA ARTO,JK092788,11-May-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-May-06,17-May-17,16-May-20,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,-
8450,KUPWARA ARTO,JK092946,20-Jul-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Dec-06,25-Dec-20,24-Dec-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,
8451,KUPWARA ARTO,JK092951,20-Jul-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Dec-06,25-Dec-20,24-Dec-23,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,-
8452,KUPWARA ARTO,JK093055,30-Aug-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Sep-06,20-Sep-22,19-Sep-27,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,
8453,KUPWARA ARTO,JK093245,07-Feb-07,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,14-Mar-07,14-Mar-20,14-Mar-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,
8454,KUPWARA ARTO,JK093247,07-Jan-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Mar-07,14-Mar-17,13-Mar-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2006-2007,2006-2007,DIESEL,-
8455,KUPWARA ARTO,JK093615,10-Jul-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Jul-07,15-Aug-20,14-Aug-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,-
8456,KUPWARA ARTO,JK093646,23-Jul-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,07-Apr-11,06-Apr-19,06-Apr-20,WITH IN DISTRICT,NA,,,NA,Town/City Service,2007-2008,2011-2012,DIESEL,
8457,KUPWARA ARTO,JK093657,24-Jul-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Aug-01,27-Aug-19,27-Aug-20,WITH IN DISTRICT,NA,Kupwara,Kralpora,,Ordinary Service,2007-2008,2001-2002,DIESEL,NA
8458,KUPWARA ARTO,JK094016,20-Nov-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Dec-07,07-Dec-20,06-Dec-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,-
8459,KUPWARA ARTO,JK094124,04-Jan-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Feb-08,08-Feb-20,07-Feb-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,-
8460,KUPWARA ARTO,JK094395,12-Jun-08,MPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Jun-08,29-Jun-19,28-Jun-21,WITH IN DISTRICT,NA,,,NA,Goods Service,2008-2009,2008-2009,DIESEL,-
8461,KUPWARA ARTO,JK095129,17-Aug-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Sep-09,29-Sep-14,29-Sep-15,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2009-2010,2009-2010,DIESEL,
8462,KUPWARA ARTO,JK095132,24-Aug-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Sep-09,16-Sep-19,15-Sep-22,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2009-2010,2009-2010,DIESEL,-------
8463,KUPWARA ARTO,JK095677,21-Apr-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-May-10,21-Jun-25,20-Jun-30,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,NON HAZARDOUS::OTHER::PASSENGERS ONLY
8464,KUPWARA ARTO,JK095975,17-Aug-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-May-11,18-May-18,21-May-19,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2010-2011,2011-2012,DIESEL,-
8465,KUPWARA ARTO,JK097167,01-Aug-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,14-Sep-11,13-Sep-23,12-Sep-28,WITH IN DISTRICT,NA,,,NA,,2011-2012,2011-2012,DIESEL,-
8466,KUPWARA ARTO,JK097584,04-Nov-11,LPV,Commercial,Private Service Vehicle,Stage Carriage Permit,BIG BUSES(HTV),18-Apr-12,17-Apr-20,16-Apr-25,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2011-2012,2012-2013,DIESEL,-
8467,KUPWARA ARTO,JK097613,21-Nov-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Jan-12,12-Jan-20,11-Jan-21,WITH IN DISTRICT,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
