Name,Category,Importance,Latitude,Longitude,City/Town
JK Ply Agency,Major Market/Mall,High,34.0235013,74.7750629,Greater Kashmir Region
Tripa A Complex,Major Market/Mall,High,34.0361872,74.8180639,Greater Kashmir Region
Valley Mega Mall,Major Market/Mall,High,34.0400708,74.8802044,Greater Kashmir Region
Umeed Shopping Plaza,Major Market/Mall,High,34.0242549,74.9162377,Greater Kashmir Region
Maqbool Complex,Major Market/Mall,High,34.0178867,74.8299339,Greater Kashmir Region
Jamia Market,Major Market/Mall,High,34.097975,74.8103666,Greater Kashmir Region
Souk- Al Jannat Mall,Major Market/Mall,High,34.1078026,74.8089595,Greater Kashmir Region
Jamia Market Gate II,Major Market/Mall,High,34.0993103,74.8093784,Greater Kashmir Region
Block 13 Mall,Major Market/Mall,High,34.1048823,74.8088107,Greater Kashmir Region
M.Y Shopping Complex,Major Market/Mall,High,34.0273003,74.8275831,Greater Kashmir Region
Al-Rashid Plaza,Major Market/Mall,High,34.0162702,74.9127687,Greater Kashmir Region
City Square Complex,Major Market/Mall,High,34.1045786,74.8087415,Greater Kashmir Region
Saffron Shopping Complex,Major Market/Mall,High,34.0208294,74.9178603,Greater Kashmir Region
Chaar Yaar Complex,Major Market/Mall,High,34.0250517,74.9134248,Greater Kashmir Region
Sheikh Complex Shiraz Chowk,Major Market/Mall,High,34.0914653,74.8194396,Greater Kashmir Region
Shopping Centre,Major Market/Mall,High,34.0980175,74.8068874,Greater Kashmir Region
Halmat Complex Jamallata Chowk,Major Market/Mall,High,34.0935965,74.7994659,Greater Kashmir Region
Nesto Plaza Chotta Bazar,Major Market/Mall,High,34.0812425,74.8014066,Greater Kashmir Region
City Centre,Major Market/Mall,High,34.0824175,74.7976327,Greater Kashmir Region
Land Mark Shopping Mall,Major Market/Mall,High,34.0796462,74.7994622,Greater Kashmir Region
Haji Plaza,Major Market/Mall,High,34.0844973,74.7965431,Greater Kashmir Region
Mir Mall,Major Market/Mall,High,34.0765537,74.7981271,Greater Kashmir Region
Lake City Plaza,Major Market/Mall,High,34.0826224,74.7983082,Greater Kashmir Region
Madina Complex,Major Market/Mall,High,34.0855317,74.7966011,Greater Kashmir Region
Bismillah Trade Centre Karan Nagar,Major Market/Mall,High,34.0810371,74.8005501,Greater Kashmir Region
Kohinoor Complex,Major Market/Mall,High,34.0850552,74.7962114,Greater Kashmir Region
Kings International Plaza,Major Market/Mall,High,34.0801349,74.7991529,Greater Kashmir Region
Mir Sultan Complex,Major Market/Mall,High,34.1444575,74.8085519,Greater Kashmir Region
JN Shopping Complex,Major Market/Mall,High,34.15017,74.8084088,Greater Kashmir Region
Capital Centre Complex,Major Market/Mall,High,34.1253453,74.8060168,Greater Kashmir Region
Makkah Shopping Complex,Major Market/Mall,High,34.1478227,74.8089527,Greater Kashmir Region
Hamsa Plaza,Major Market/Mall,High,34.1213287,74.8150435,Greater Kashmir Region
Gulmarg Shopping Complex,Major Market/Mall,High,34.0818166,74.8328569,Greater Kashmir Region
Shalimar Market,Major Market/Mall,High,34.1472286,74.8701965,Greater Kashmir Region
Gulzar's City Square,Major Market/Mall,High,34.1430684,74.8381709,Greater Kashmir Region
Shopping Complex,Major Market/Mall,High,34.098009,74.8226211,Greater Kashmir Region
Zaroo Complex,Major Market/Mall,High,34.0991317,74.8129963,Greater Kashmir Region
IQ Shopping Mall,Major Market/Mall,High,34.0375161,74.7893933,Greater Kashmir Region
Nirman Complex,Major Market/Mall,High,34.0477382,74.8029447,Greater Kashmir Region
